code;name;description
1;Complementos científico-matemáticos;sssssssssss
2;Complementos de computadores;sssssssssss
3;Complementos de arquitectura y tecnología de computadores;sssssssssss
4;Complementos de estadística, finanzas y empresa;sssssssssss
5;Complementos de gestión y procesamiento de la información;sssssssssss
6;Complementos de ingeniería de software e inteligencia artificial;sssssssssss
8;Complementos de matemáticas e investigación operativa;sssssssssss
9;Complementos de Programación;sssssssssss
10;Complementos de programación y lenguajes;sssssssssss
11;Complementos de sistemas inteligentes;sssssssssss
12;Complementos de software de sistemas;sssssssssss
13;Desarrollo de Software Avanzado;sssssssssss
14;Desarrollo del software fundamental;sssssssssss
15;Empresa;sssssssssss
16;Estructura de computadores;sssssssssss
17;Ética, legislación y profesión  ;sssssssssss
18;Física;sssssssssss
19;Gestión de Proyectos y del Conocimiento;sssssssssss
20;Gestión Empresarial;sssssssssss
21;Informática;sssssssssss
22;Inteligencia artificial;sssssssssss
23;Interacción persona-computador;sssssssssss
24;Lenguajes informáticos y procesadores de lenguaje;sssssssssss
25;Matemáticas;sssssssssss
26;Métodos Estadísticos;sssssssssss
27;Métodos Estadísticos y de Investigación Operativa;sssssssssss
28;Métodos Matemáticos  y Estadísticos;sssssssssss
29;Prácticas en empresas;sssssssssss
30;Programación avanzada  ;sssssssssss
31;Programación fundamental;sssssssssss
32;Redes y seguridad;sssssssssss
33;Sistemas de información;sssssssssss
34;Sistemas distribuidos;sssssssssss
35;Sistemas Operativos y Redes Avanzados;sssssssssss
36;Sistemas operativos y redes fundamentales;sssssssssss
37;Software de Sistemas;sssssssssss
38;Técnicas de Integración y Dominios de Aplicación;sssssssssss
39;Tecnología y Arquitectura de Computadores;sssssssssss
40;Tecnologías de la información;sssssssssss
41;Trabajo de fin de grado;sssssssssss
42;Métodos, técnicas y herramientas de dirección y gestión;sssssssssss
43;Consultoría informática;sssssssssss
44;Ingeniería del software y sistemas informáticos;sssssssssss
45;Arquitectura y redes de computadores;sssssssssss
46;Complementos de ingeniería del software y sistemas informáticos;sssssssssss
47;Complementos de arquitectura y redes de computadores;ssssssssss
48;Trabajo fin de máster;sssssssssss